"W","FINAL_MARGIN","SHOT_NUMBER","PERIOD","SHOT_CLOCK","DRIBBLES","TOUCH_TIME","SHOT_DIST(ft)","PTS_TYPE","CLOSE_DEF_DIST(ft)"
"1.0","-0.8116957483054211","-0.03815222006634349","-0.029086224385798","-0.02921326114191783","0.03379991802402284","0.05147944302256208","0.021083703443014194","-0.003922809058626729","-0.07278506358410257"
"-0.8116957483054211","1.0","0.07836375802329436","0.051810788919280155","0.010399776744659375","0.012279506289479268","-0.010611449150503306","-0.01472211343719824","-0.002435426802124804","0.08717476578450695"
"-0.03815222006634349","0.07836375802329436","1.0","0.643941737403864","-0.06309801873840279","0.1511703073593704","0.15564592101788322","0.02858184442418018","-0.0062852192842806414","-0.06100132493112577"
"-0.029086224385798","0.051810788919280155","0.643941737403864","1.0","-0.055907939563119236","0.0318010623270527","0.020946322263833066","0.041882915621895965","0.07288035518804833","0.009097191279255849"
"-0.02921326114191783","0.010399776744659375","-0.06309801873840279","-0.055907939563119236","1.0","-0.10762380349270406","-0.16244477620384504","-0.2176559398504563","-0.08972332266003927","0.006100685134441631"
"0.03379991802402284","0.012279506289479268","0.1511703073593704","0.0318010623270527","-0.10762380349270406","1.0","0.9376033671473886","-0.10186037067533267","-0.2195597587173202","-0.17205323746615184"
"0.05147944302256208","-0.010611449150503306","0.15564592101788322","0.020946322263833066","-0.16244477620384504","0.9376033671473886","1.0","-0.10351328235582377","-0.239811606850968","-0.19633125582447336"
"0.021083703443014194","-0.01472211343719824","0.02858184442418018","0.041882915621895965","-0.2176559398504563","-0.10186037067533267","-0.10351328235582377","1.0","0.7630040445014125","0.5468867217762151"
"-0.003922809058626729","-0.002435426802124804","-0.0062852192842806414","0.07288035518804833","-0.08972332266003927","-0.2195597587173202","-0.239811606850968","0.7630040445014125","1.0","0.42909511469250994"
"-0.07278506358410257","0.08717476578450695","-0.06100132493112577","0.009097191279255849","0.006100685134441631","-0.17205323746615184","-0.19633125582447336","0.5468867217762151","0.42909511469250994","1.0"
